date,station_name,latitude,longitude,pm25,pm10,no2,so2,o3,co,aqi,category,dominant_pollutant
2025-03-07,Bhavnagar Crescent Circle,21.7641,72.1525,90.5,149.3,56.0,21.3,36.7,2.1,190,Unhealthy,PM2.5
2025-03-07,Jamnagar Lal Bangla,22.4707,70.0577,87.3,144.1,54.2,20.0,37.3,2.0,186,Unhealthy,PM2.5
2025-03-07,Junagadh MG Road,21.5222,70.4579,82.9,136.8,51.7,19.0,38.0,1.8,180,Unhealthy,PM2.5
2025-03-07,Gandhinagar Sector 21,23.2205,72.6502,96.1,158.6,58.9,22.9,36.0,2.2,198,Unhealthy,PM2.5
2025-03-07,Anand Vidyanagar,22.5537,72.9223,93.8,154.8,57.7,22.2,36.3,2.1,195,Unhealthy,PM2.5
2025-03-07,Bharuch Civil Hospital,21.7048,73.0021,91.7,151.3,56.7,21.6,36.5,2.1,192,Unhealthy,PM2.5
2025-03-07,Vapi GIDC,20.3893,72.9106,97.4,160.7,59.3,23.1,35.9,2.3,200,Unhealthy,PM2.5
2025-03-07,Navsari City,20.9537,72.9322,89.2,147.2,55.3,20.5,37.1,2.0,188,Unhealthy,PM2.5
2025-03-07,Bhuj City,23.2516,69.6623,84.7,139.8,52.8,19.4,37.7,1.9,182,Unhealthy,PM2.5
2025-03-07,Porbandar Marine Drive,21.6387,69.6292,76.8,126.8,47.7,17.7,39.1,1.7,173,Unhealthy,PM2.5
2025-03-07,Morbi City,22.831,70.8378,88.1,145.4,54.7,20.1,37.2,2.0,187,Unhealthy,PM2.5
2025-03-07,Surendranagar Clock Tower,22.7272,71.6477,93.5,154.3,57.6,22.1,36.4,2.1,195,Unhealthy,PM2.5
2025-03-07,Amreli District Court,21.6015,71.2145,87.6,144.5,54.4,20.1,37.3,2.0,186,Unhealthy,PM2.5
2025-03-07,Godhra ST Stand,22.7782,73.6145,96.4,159.0,59.1,23.0,36.0,2.2,199,Unhealthy,PM2.5
2025-03-07,Kheda Nadiad,22.6939,72.8614,91.8,151.5,56.8,21.7,36.5,2.1,192,Unhealthy,PM2.5
2025-03-07,Patan City,23.8505,72.1214,95.3,157.2,58.5,22.7,36.1,2.2,197,Unhealthy,PM2.5
2025-03-07,Mehsana Highway,23.6,72.39,97.2,160.4,59.5,23.2,35.9,2.3,200,Unhealthy,PM2.5
2025-03-07,Palanpur Municipal Area,24.1723,72.4337,93.1,153.6,57.4,22.0,36.4,2.1,194,Unhealthy,PM2.5
2025-03-07,Himatnagar Bus Station,23.5987,73.0174,90.8,149.8,56.2,21.4,36.7,2.1,191,Unhealthy,PM2.5
2025-03-07,Valsad Station Road,20.607,72.9342,86.9,143.4,54.0,19.9,37.4,2.0,185,Unhealthy,PM2.5
2025-03-07,Dahod Civil Lines,22.8394,74.2646,94.7,156.3,58.2,22.6,36.2,2.2,196,Unhealthy,PM2.5
2025-03-07,Nanded Shivaji Nagar,19.1557,77.3157,88.5,146.0,54.9,20.2,37.1,2.0,187,Unhealthy,PM2.5
2025-03-07,Aurangabad Kranti Chowk,19.8739,75.3209,91.4,150.8,56.5,21.6,36.6,2.1,192,Unhealthy,PM2.5
2025-03-07,Kolhapur Rajarampuri,16.705,74.2433,83.8,138.3,52.2,19.2,37.9,1.9,182,Unhealthy,PM2.5
2025-03-07,Solapur Civil Hospital,17.6599,75.9064,87.2,143.9,54.2,19.9,37.3,2.0,186,Unhealthy,PM2.5
2025-03-07,Nashik Gangapur Road,19.9909,73.7875,86.5,142.7,53.7,19.8,37.4,1.9,185,Unhealthy,PM2.5
2025-03-07,Thane Station,19.1864,72.9687,95.6,157.7,58.8,22.8,36.0,2.2,198,Unhealthy,PM2.5
2025-03-07,Navi Mumbai Vashi,19.076,72.9988,92.1,151.9,56.9,21.8,36.5,2.1,193,Unhealthy,PM2.5
2025-03-07,Ratnagiri City,16.9902,73.312,63.5,104.8,41.6,15.2,41.1,1.4,154,Unhealthy,PM2.5
2025-03-07,Sindhudurg Malvan,16.069,73.4693,58.7,96.9,38.4,14.2,42.0,1.3,147,Unhealthy for Sensitive Groups,PM2.5
2025-03-07,Satara Powai Naka,17.6805,74.0183,79.4,131.0,49.4,18.2,38.5,1.8,176,Unhealthy,PM2.5
2025-03-07,Sangli Civil Hospital,16.856,74.5765,82.6,136.3,51.5,18.9,38.1,1.8,180,Unhealthy,PM2.5
2025-03-07,Ahmednagar City,19.0913,74.7383,86.3,142.4,53.6,19.7,37.5,1.9,185,Unhealthy,PM2.5
2025-03-07,Jalgaon Railway Station,21.0152,75.5626,96.8,159.7,59.4,23.1,35.9,2.3,199,Unhealthy,PM2.5
2025-03-07,Akola Civil Lines,20.7053,76.9982,94.3,155.6,58.1,22.5,36.3,2.2,196,Unhealthy,PM2.5
2025-03-07,Amravati Camp Area,20.9333,77.75,92.9,153.3,57.3,22.0,36.4,2.1,194,Unhealthy,PM2.5
2025-03-07,Yavatmal City,20.3984,78.1308,91.1,150.3,56.4,21.5,36.6,2.1,191,Unhealthy,PM2.5
2025-03-07,Chandrapur Civil Lines,19.9615,79.2961,96.2,158.7,59.0,22.9,36.0,2.2,199,Unhealthy,PM2.5
2025-03-07,Wardha City,20.7453,78.6022,93.7,154.6,57.8,22.3,36.3,2.2,195,Unhealthy,PM2.5
2025-03-07,Bhandara City,21.1667,79.65,89.8,148.2,55.6,20.6,37.0,2.0,189,Unhealthy,PM2.5
2025-03-07,Gondia Railway Colony,21.45,80.2,90.9,150.0,56.3,21.5,36.6,2.1,191,Unhealthy,PM2.5
2025-03-07,Gadchiroli District Hospital,20.1859,79.995,85.1,140.4,53.0,19.5,37.6,1.9,183,Unhealthy,PM2.5
2025-03-07,Latur MIDC,18.4088,76.5604,89.3,147.3,55.4,20.5,37.0,2.0,188,Unhealthy,PM2.5
2025-03-07,Osmanabad Bus Stand,18.1813,76.0428,87.8,144.9,54.5,20.1,37.2,2.0,186,Unhealthy,PM2.5
2025-03-07,Nanded Vazirabad,19.1383,77.3054,90.2,148.8,55.9,20.8,36.8,2.0,190,Unhealthy,PM2.5
2025-03-07,Parbhani Gandhi Maidan,19.2704,76.7769,93.5,154.3,57.6,22.1,36.4,2.1,195,Unhealthy,PM2.5
2025-03-07,Hingoli Collector Office,19.7167,77.15,91.8,151.5,56.8,21.7,36.5,2.1,192,Unhealthy,PM2.5
2025-03-07,Buldhana City,20.5333,76.1833,94.6,156.1,58.2,22.5,36.2,2.2,196,Unhealthy,PM2.5
2025-03-07,Washim City,20.1119,77.1425,92.4,152.5,57.0,21.9,36.5,2.1,193,Unhealthy,PM2.5
2025-03-07,Amaravati Rajkamal Chowk,20.9319,77.7583,94.9,156.6,58.4,22.6,36.1,2.2,197,Unhealthy,PM2.5
2025-03-07,Dhule Civil Hospital,20.8986,74.7748,97.3,160.5,59.5,23.2,35.9,2.3,200,Unhealthy,PM2.5
2025-03-07,Nandurbar ST Stand,21.3667,74.25,95.1,156.9,58.5,22.7,36.1,2.2,197,Unhealthy,PM2.5
2025-03-07,Warangal City,17.9889,79.5994,83.2,137.3,51.8,19.1,38.0,1.9,181,Unhealthy,PM2.5
2025-03-07,Nizamabad Bus Stand,18.6725,78.0941,86.7,143.1,53.8,19.8,37.5,1.9,185,Unhealthy,PM2.5
2025-03-07,Karimnagar Collectorate,18.4386,79.1288,84.9,140.1,52.9,19.5,37.7,1.9,183,Unhealthy,PM2.5
2025-03-07,Adilabad District Court,19.6667,78.5333,89.5,147.7,55.5,20.6,37.0,2.0,189,Unhealthy,PM2.5
2025-03-07,Khammam Bus Depot,17.2473,80.1514,82.1,135.5,51.1,18.8,38.2,1.8,180,Unhealthy,PM2.5
2025-03-07,Nalgonda Clock Tower,17.0575,79.2686,80.8,133.3,50.3,18.5,38.3,1.8,178,Unhealthy,PM2.5
2025-03-07,Mahbubnagar Bus Station,16.7393,77.9755,84.1,138.8,52.4,19.3,37.8,1.9,182,Unhealthy,PM2.5
2025-03-07,Sangareddy Collectorate,17.6272,78.0919,85.9,141.7,53.4,19.6,37.5,1.9,184,Unhealthy,PM2.5
2025-03-07,Medak District Hospital,18.0429,78.2595,83.5,137.8,52.0,19.2,37.9,1.9,181,Unhealthy,PM2.5
2025-03-07,Secunderabad Railway Station,17.4332,78.5013,89.8,148.2,55.8,20.7,37.0,2.0,189,Unhealthy,PM2.5
2025-03-07,Vijaywada MG Road,16.5193,80.6305,77.4,127.7,48.1,17.8,38.9,1.7,174,Unhealthy,PM2.5
2025-03-07,Guntur Arundelpet,16.3067,80.4365,79.9,131.8,49.7,18.3,38.4,1.8,177,Unhealthy,PM2.5
2025-03-07,Nellore VRC Center,14.4426,79.9865,76.2,125.7,47.4,17.5,39.1,1.7,173,Unhealthy,PM2.5
2025-03-07,Kurnool Bus Stand,15.8281,78.0373,83.7,138.1,52.1,19.2,37.9,1.9,182,Unhealthy,PM2.5
2025-03-07,Anantapur Clock Tower,14.6819,77.6006,80.1,132.2,49.8,18.4,38.4,1.8,178,Unhealthy,PM2.5
2025-03-07,Kadapa District Court,14.4674,78.8244,82.3,135.8,51.2,18.8,38.1,1.8,180,Unhealthy,PM2.5
2025-03-07,Tirupati Bus Stand,13.6288,79.4192,74.9,123.6,46.6,17.2,39.4,1.7,171,Unhealthy,PM2.5
2025-03-07,Kakinada Port Area,16.9661,82.2471,73.1,120.6,45.5,16.8,39.8,1.6,169,Unhealthy,PM2.5
2025-03-07,Rajahmundry Bridge Road,16.9853,81.7775,75.8,125.1,47.1,17.4,39.3,1.7,172,Unhealthy,PM2.5
2025-03-07,Eluru Clock Tower,16.7107,81.0952,74.5,123.0,46.3,17.1,39.5,1.6,170,Unhealthy,PM2.5
2025-03-07,Ongole Bus Stand,15.5057,80.0499,78.2,129.0,48.6,18.0,38.7,1.7,175,Unhealthy,PM2.5
2025-03-07,Chittoor RTC Bus Stand,13.2172,79.0941,76.7,126.6,47.7,17.6,39.1,1.7,173,Unhealthy,PM2.5
